"ProjectName","RepositoryName","RepositoryId","AlertId","AlertType","Title","Severity","State","Tool","FirstDetectionDate","LastDetectionDate","IntroductionDate","GitRef","Confidence"
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","143","dependency","Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability (CVE-2024-43483)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","142","dependency","Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability (CVE-2024-43483)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","141","dependency","Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability (CVE-2024-43483)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","140","dependency","Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability (CVE-2024-43483)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","139","dependency","Microsoft Security Advisory CVE-2024-43483 | .NET Denial of Service Vulnerability (CVE-2024-43483)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","138","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","137","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","136","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","135","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","134","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","133","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","132","dependency","Microsoft Security Advisory CVE-2024-43485 | .NET Denial of Service Vulnerability (CVE-2024-43485)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","131","dependency","Microsoft Security Advisory CVE-2024-38095 | .NET Denial of Service Vulnerability (CVE-2024-38095)","high","active","Advanced Security Dependency Scanning","2025-05-01T17:34:31.8308504Z","2025-05-01T17:34:31.8308504Z","2024-10-02T19:24:49Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","33","code","Hard-coded credentials (cs/hardcoded-credentials)","critical","active","CodeQL","2024-09-04T13:08:59.1001504Z","2024-09-26T16:00:44.5336504Z","2024-09-03T21:21:24Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","32","code","Hard-coded credentials (cs/hardcoded-credentials)","critical","active","CodeQL","2024-09-04T13:08:59.1001504Z","2024-09-26T16:00:44.5336504Z","2024-09-03T21:21:24Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","31","code","Hard-coded credentials (cs/hardcoded-credentials)","critical","active","CodeQL","2024-09-04T13:08:59.1001504Z","2024-09-26T16:00:44.5336504Z","2024-09-03T21:21:24Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","30","dependency","MSAL.NET applications targeting Xamarin Android and .NET Android (MAUI) susceptible to local denial of service (CVE-2024-27086)","low","active","Advanced Security Dependency Scanning","2024-09-04T13:06:39.5369214Z","2025-05-01T17:34:31.8308504Z","2024-09-03T21:21:24Z","refs/heads/main",
"eShopOnWeb","eShopOnWeb","db2541ad-3d8c-4b0e-a9f8-16350cccfde4","29","dependency","MSAL.NET applications targeting Xamarin Android and .NET Android (MAUI) susceptible to local denial of service (CVE-2024-27086)","low","active","Advanced Security Dependency Scanning","2024-09-04T13:06:39.5369214Z","2025-05-01T17:34:31.8308504Z","2024-09-03T21:21:24Z","refs/heads/main",
